DAUID,revenu_median,Nombre_ménages_faible_revenu,Pourcentage_population_active_15_64_ans,nombre_pop_total
"24660475",64500,0,70,496
"24660446",59200,5,74,310
"24660447",63600,0,77,393
"24660468",66000,5,73,651
"24660474",64500,0,76,621
"24660465",69000,5,74,520
"24662610",55600,0,81,608
"24662609",,,80,247
"24662608",59600,10,81,553
"24662607",42400,35,73,395
"24662611",49600,45,71,862
"24662606",71000,5,79,607
"24660469",62800,10,77,475
"24660473",44000,50,71,661
"24660464",60400,5,76,552
"24660470",63200,5,79,618
"24660472",59600,5,73,621
"24660463",61200,10,80,704
"24660471",60400,5,77,548
"24660454",55600,5,80,494
"24660492",60800,10,72,672
"24660462",70500,5,74,546
"24660455",56400,0,80,419
"24660460",61600,10,74,663
"24660461",63600,5,72,593
"24661532",117000,10,63,572
"24661571",144000,0,58,478
"24661531",39600,10,70,563
"24661533",42000,20,66,865
"24661570",168000,0,61,386
"24661569",180000,5,61,446
"24661568",168000,5,61,444
"24662605",57200,10,74,663
"24662604",63600,0,76,422
"24660430",58800,5,73,471
"24660429",55600,10,75,549
"24662981",44800,10,73,478
"24662982",47200,5,81,411
"24660456",46400,15,73,747
"24660459",44000,5,78,707
"24660457",46000,5,75,532
"24660458",50800,10,75,610
"24662980",44000,45,60,704
"24662621",58000,10,75,730
"24662622",43600,5,77,506
"24662624",49600,5,70,499
"24662623",46800,15,69,848
"24662627",56800,5,70,443
"24662625",40800,5,75,551
"24662603",64000,10,67,1140
"24662594",80000,0,59,394
"24662595",36000,30,7,486
"24662592",74000,0,66,432
"24662619",48400,5,65,743
"24662601",56000,15,43,1109
"24662620",42800,15,70,435
"24662600",77000,5,74,605
"24662602",76000,0,63,630
"24662599",62000,0,74,602
"24662598",57200,10,69,492
"24663251",55600,45,62,854
"24662628",53200,5,69,701
"24662629",54000,10,62,620
"24660347",58000,10,68,537
"24662630",59200,0,64,430
"24662637",64500,5,65,441
"24660346",56400,15,70,770
"24662631",58000,10,62,628
"24662636",62000,0,65,417
"24660356",48400,10,65,506
"24660354",62800,15,62,681
"24660348",53600,5,70,333
"24660349",32400,50,56,465
"24660350",50000,10,65,616
"24660351",64500,0,66,531
"24662635",63200,5,66,413
"24660345",56000,0,65,680
"24662632",52800,10,69,743
"24662634",52400,5,70,393
"24660352",60400,5,71,498
"24662633",46000,20,64,781
"24662972",55200,5,63,493
"24660343",56000,10,68,528
"24660344",54400,5,66,514
"24660342",44400,10,66,613
"24660341",50000,5,64,420
"24660340",63600,0,61,253
"24660339",60000,5,68,585
"24660338",50000,10,66,805
"24660412",50800,10,65,783
"24662973",58800,5,62,560
"24660409",47600,5,70,578
"24660411",50800,5,67,494
"24660408",52800,20,66,577
"24660330",54400,5,65,616
"24660331",42000,15,65,567
"24660329",60000,0,62,567
"24660337",52000,10,71,695
"24662730",65000,5,65,537
"24660332",43200,10,65,521
"24660333",42000,15,62,487
"24660336",40000,10,68,570
